id,Pre-packaged Job Solutions,URL,Remote Testing (y/n),Adaptive/IRT (y/n),Test Type,Description,Job Levels,Languages,Assessment Length,Assessment Length Parsed,combined_text,llm_summary
536,Business Communications,https://www.shl.com/solutions/products/product-catalog/view/business-communications/,Yes,No,K,"This test measures the candidate's knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication. This version of the test is not adaptive.",,"English (USA),",35,44,"Healthcare Call Center Agent Solution. The Healthcare Call Center Agent solution is for entry-level positions in an inbound healthcare call center environment. Sample tasks for this job include, but are not limited to: taking and receiving information from patients over the phone, working between computer screens, and entering information into a computer. Potential job titles that use this solution are: Call Center Representative, Receptionist, and Switchboard Operator. Multiple configurations of this solution are available. Test Type: A B P S, Duration: 44","This assessment evaluates entry-level healthcare call center skills (phone interaction, computer data entry, multi-tasking) for roles like Call Center Representative.  Test type: A B P S. Duration: 44 minutes."
4038,C Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new/,Yes,No,K,"Multi-choice test that measures the knowledge of C programming basics, functions, arrays, composed data types, and advanced C concepts like SLF, file handling and dynamic memory.","Mid-Professional, Professional Individual Contributor,","English (USA),",10,37,"Healthcare Service Associate Solution. The Healthcare Service Associate solution is for entry-level positions in a healthcare environment that require the employee to interact with patients. Sample tasks for this job include, but are not limited to: delivering food to patients, cleaning patient rooms, and welcoming guests to the hospital. Potential job titles that use this solution are: Housekeepers, Dietary Aides, and Guest Services Coordinator. There are multiple configurations and versions of this solution available. Test Type: A B P, Duration: 37","This assessment evaluates entry-level healthcare skills (e.g., patient interaction, housekeeping, food delivery) for roles like Housekeeper, Dietary Aide, and Guest Services Coordinator.  Test type: A B P. Duration: 37 minutes."
4039,C# Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4039/,Yes,No,K,"Multi-choice test that measures the knowledge of C# programming structure, functions, collections, enumeration, exception handling, OOPs constructs, inheritance, event handling and operator overloading.","Mid-Professional, Professional Individual Contributor,","English (USA),",9,30,"Healthcare Support Specialist Solution. The Healthcare Support Specialist solution is for entry-level positions in a healthcare environment that do not require the employee to interact with patients. Sample tasks for this job include, but are not limited to: preparing food for patients, washing hospital linens, and cleaning the healthcare facility. Potential job titles that use this solution are: Janitors, Food Preparation Workers, and Laundry Associates. Multiple configurations of this solution are available. Test Type: A B P, Duration: 30","This assessment, using A B P test type and lasting 30 minutes, evaluates entry-level healthcare support skills (food prep, laundry, cleaning) for non-patient-facing roles like Janitors, Food Preparation Workers, and Laundry Associates.  Multiple test configurations are available."
4122,C++ Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4122/,Yes,No,K,Multi-choice test that measures the knowledge of programming in the C++ language and the ability to use the C++ standard library to write code.,"Mid-Professional, Professional Individual Contributor,","English (USA),",10,41,"Home Health Aide Solution. The Home Health Aide solution is for entry-level positions in an in-home or group home environment. Sample tasks for this job include, but are not limited to: monitoring vital signs and medication intake, administering bedside and personal care such as ambulation and personal hygiene, and preparing and maintaining records of patient progress and services performed. Potential job titles that use this solution are: Personal Care Aide, Home Health Aide, Residential Assistant, and Certified Nursing Assistant. There are multiple configurations and versions of this solution available. Test Type: A B P, Duration: 41","This assessment evaluates entry-level Home Health Aide skills (vital signs monitoring, medication management, personal care, record-keeping) using an A B P test type.  Duration: 41 minutes."
4077,Cardiology and Diabetes Management (New),https://www.shl.com/solutions/products/product-catalog/view/cardiology-and-diabetes-management-new/,Yes,No,K,"Multi-choice test that measures the knowledge of how to control and manage cardiovascular diseases and diabetes, and understanding of the diagnostic tests used for them.","Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",4,57,"Hospitality Manager Solution. The Hospitality Manager solution is designed for management level positions in the hospitality industry. Sample tasks include overall property management, managing staff and managing the guest experience. The solution is focused on managing business operations, managing staff, solving problems, making good decisions and maintaining focus on the customer. Potential job titles that use this solution are: Property Manager, Property Director, Hotel Manager and Hospitality Manager. Multiple configurations of this solution are available. Test Type: A B K P, Duration: 57","This assessment, using A B K P test types and lasting 57 minutes, evaluates hospitality management skills.  It focuses on property/staff management, guest experience, business operations, problem-solving, decision-making, and customer focus.  Suitable for Property Managers, Directors, and Hotel/Hospitality Managers."
4044,Ceramic Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/ceramic-engineering-new/,Yes,No,K,"Multi-choice test that measures the knowledge of classification of ceramic materials, production of ceramics and thermodynamics.","Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",12,30,"Host Solution. The Host solution is designed for entry level positions in the hospitality industry. Sample tasks include greeting guests, managing wait lists and showing guests to their tables. The solution is focused on work ethic and customer focus. Potential job titles that use this solution are: Host, Hostess and Greeter. There are multiple configurations and versions of this solution available. Test Type: B P, Duration: 30","This is a 30-minute, behaviorally-proficient (B-P) assessment for entry-level hospitality roles (Host, Hostess, Greeter).  It evaluates work ethic and customer focus through tasks simulating guest greeting, waitlist management, and table seating."
4012,Chemical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/chemical-engineering-new/,Yes,No,K,"Multi-choice test that measures the conceptual knowledge of transport phenomena, chemical process engineering and technology, chemical process principles, stoichiometry and process calculations.","Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",13,20,"Industrial - Entry Level 7.0 Solution. Our Industrial – Entry Level 7.0 solution is designed for entry-level positions, and measures the behaviors and experiences that underlie successful and safe performance in general or light industrial roles. The solution covers a wide variety of entry-level positions, and assesses behaviors including: following policies and procedures; general facility upkeep; producing high quality work; maintaining an orderly work environment; wearing required protective equipment; and being thorough. Potential job titles that use this solution include: Laborer, Custodians, Building and Grounds Maintenance Workers, Handyman.
Report Language Availability: English (USA), Latin American Spanish. Test Type: B, Duration: 20","This entry-level industrial assessment (Test Type B, 20-minute duration) measures essential skills for general/light industrial roles, including following procedures, maintaining quality and a clean workspace, using protective equipment, and thoroughness.  It's suitable for positions like laborer and custodian.  Available in English (USA) and Latin American Spanish."
4024,Cisco AppDynamics (New),https://www.shl.com/solutions/products/product-catalog/view/cisco-appdynamics-new/,Yes,No,K,"Multi-choice test that measures the knowledge of application analytics, performance management, and AppDynamics essentials like controller UI, custom dashboard, reports and monitoring.","Mid-Professional, Professional Individual Contributor,","English (USA),",9,20,"Industrial - Entry Level 7.1 (Americas). Our Industrial – Entry Level 7.1 solution is designed for entry-level positions, and measures the behaviors and experiences that underlie successful and safe performance in general or light industrial roles. The solution covers a wide variety of entry-level positions, and assesses behaviors including: following policies and procedures; general facility upkeep; producing high quality work; maintaining an orderly work environment; wearing required protective equipment; and being thorough. Potential job titles that use this solution include: Laborer, Custodians, Building and Grounds Maintenance Workers, Handyman.
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International and Americas"". Test Type: B, Duration: 20","This entry-level Industrial assessment (Test Type B, 20-minute duration) measures safe work behaviors for roles like laborer and custodian.  It assesses following procedures, quality work, workplace order, safety equipment use, and thoroughness.  The assessment uses either International or Americas norms."
4150,Civil Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/civil-engineering-new/,Yes,No,K,"Multi-choice test that measures the knowledge of structural engineering, transportation engineering, surveying, geotechnical engineering and water resources engineering.","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),",10,20,"Industrial - Entry Level 7.1 (International). Our Industrial – Entry Level 7.1 solution is designed for entry-level positions, and measures the behaviors and experiences that underlie successful and safe performance in general or light industrial roles. The solution covers a wide variety of entry-level positions, and assesses behaviors including: following policies and procedures; general facility upkeep; producing high quality work; maintaining an orderly work environment; wearing required protective equipment; and being thorough. Potential job titles that use this solution include: Laborer, Custodians, Building and Grounds Maintenance Workers, Handyman.
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International and Americas"". Test Type: B, Duration: 20","This Industrial Entry Level 7.1 assessment (International norm) is a Type B test, lasting 20 minutes.  It assesses entry-level industrial skills like following procedures, maintaining quality and safety, and workplace organization.  Target roles include laborer, custodian, and maintenance worker."
4045,Cloud Computing (New),https://www.shl.com/solutions/products/product-catalog/view/cloud-computing-new/,Yes,No,K,"Multi-choice test that measures the knowledge of cloud computing concepts, cloud service models, virtualization and private clouds.","Mid-Professional, Professional Individual Contributor,","English (USA),",8,49,"Industrial - Professional and Skilled 7.0 Solution. Our Industrial – Professional and Skilled 7.0 solution is designed to measure the behaviors and experiences that underlie successful and safe performance in the workplace for specialized technical or professional industrial roles. This solution assesses mechanical comprehension and other foundational behaviors including: behaving safely and efficiently in the workplace; installing, repairing, and/or maintaining equipment and machinery; making sound mechanical decisions; maintaining an orderly work environment; and producing high quality and reliable work.
Report Language Availability: English (USA), Latin American Spanish. Test Type: A B, Duration: 49","This Industrial-Professional & Skilled 7.0 assessment (Type A B, 49-minute duration) measures workplace behaviors and skills crucial for specialized industrial roles.  It assesses mechanical comprehension, safe work practices, equipment maintenance, sound decision-making, organization, and quality workmanship."
4046,COBOL Programming (New),https://www.shl.com/solutions/products/product-catalog/view/cobol-programming-new/,Yes,No,K,"Multi-choice test that measures the knowledge of COBOL programming fundamentals, programming structure and different types of application processing.","Mid-Professional, Professional Individual Contributor,","English (USA),",10,49,"Account Manager Solution. The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. Sample tasks for these jobs include, but are not limited to: communicating with clients about project status, developing and maintaining project plans, coordinating internally with appropriate project personnel, and ensuring client expectations are being met. Potential job titles that use this solution are: Account Executive, Account Manager, and Senior Account Manager. There are multiple configurations of this solution available. Test Type: C P A B, Duration: 49","The Account Manager assessment (CPAB type, flexible duration) evaluates candidates for mid-level account management roles (e.g., Account Executive, Account Manager, Senior Account Manager).  It assesses skills in client communication, project planning, internal coordination, and meeting client expectations."
4104,Computer Science (New),https://www.shl.com/solutions/products/product-catalog/view/computer-science-new/,Yes,No,K,"Multi-choice test that measures the knowledge of operating system, computer architecture, DBMS and basics of computer networks and communication.","Mid-Professional, Professional Individual Contributor,","English (USA),",12,36,"Administrative Professional - Short Form. The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. Potential job titles that use this solution are: Administrative Assistant, Secretary, Office Manager, Administrative Aide, and Administrative Associate. Test Type: A K P, Duration: 36","This 36-minute Aptitude (A K P) test assesses skills for entry-to-mid-level administrative positions (e.g., Administrative Assistant, Office Manager).  It covers clerical, office management, and customer service tasks."
4189,Contact Center Call Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/contact-center-call-simulation-new/,Yes,No,S,Simulation based test that measures the ability to handle customer concerns over a call by referring to standard process documents. It also measures typing and documentation skills.,"Entry-Level,","English (USA),",15,51,"Agency Manager Solution. The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this job include, but are not limited to: directing and coordinating financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department. Potential job titles that use this solution are: Agency Manager, Brokerage Manager. Multiple configurations of this solution are available. Test Type: A B P S, Duration: 51","This assessment evaluates mid-level sales management skills (e.g., directing financial activities) for roles like Agency Manager or Brokerage Manager.  It uses A, B, P, and S test types and has a duration of 51 minutes."
4296,Conversational Multichat Simulation,https://www.shl.com/solutions/products/product-catalog/view/conversational-multichat-simulation/,Yes,No,S,"This is a simulation-based test that measures the ability to handle customer concerns over multiple chats by referring to standard process documents. It provides an open-ended chat environment that assesses the candidate’s skills in a real job setting. Candidates are scored based on whether they resolved the customer’s query, the amount of time taken, and the correct use of vocabulary and grammar in their response.",,"English (USA),",11,30,"Apprentice + 8.0 Job Focused Assessment. The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organisations whose business spans across regions. Test Type: B P, Duration: 30","The Apprentice+ 8.0 is a 30-minute, globally applicable, entry-level job-focused assessment.  It includes a cognitive ability measure and is suitable for apprenticeship models.  Test type: B P."
4034,Core Java (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/,Yes,No,K,"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, files and exception handling, and advanced Java concepts like generics, collections, threads, strings and concurrency.","Mid-Professional, Professional Individual Contributor,","English (USA),",13,20,"Apprentice 8.0 Job Focused Assessment. The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organizations whose business spans across regions. Test Type: B P, Duration: 20","The Apprentice 8.0 Job-Focused Assessment is a short, globally applicable, entry-level test (Type: B P) assessing job skills relevant to apprenticeship models.  Duration: 20 minutes."
4032,Core Java (Entry Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,Yes,No,K,"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generic class and inner class.","Mid-Professional, Professional Individual Contributor,","English (USA),",13,35,"Bank Administrative Assistant - Short Form. The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs include, but are not limited to: answering telephones, managing files and records, sorting mail, greeting customers, and collaborating with co-workers on projects. Potential job titles that use this solution are: Receptionist and Administrative Assistant. There are multiple configurations of this solution available. Test Type: A B K P, Duration: 35","This 35-minute assessment, using A, B, K, and P test types, evaluates entry-level administrative assistant skills (e.g., phone etiquette, filing, customer service, teamwork).  It's suitable for Receptionists and Administrative Assistants."
3458,Count Out The Money,https://www.shl.com/solutions/products/product-catalog/view/count-out-the-money/,Yes,Yes,K S,The Count out the Money –US test measures a candidate’s money handling ability. This test is designed for entry-level positions where handling money is required on a regular basis.,"Entry-Level,","English (USA), English (Australia), English (Canada), English International, English (South Africa),",5,45,"Bank Collections Agent - Short Form. This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple choice questions to measure achievement orientation, dependability, collector numerical skills, revenue recovery, customer focus, and persistence and planfulness. There are multiple configurations and versions of this solution available. Test Type: A B P, Duration: 45","This 45-minute, multiple-choice assessment evaluates entry-level bank collections agents.  It measures achievement orientation, dependability, numerical skills, revenue recovery, customer focus, persistence, and planfulness.  Test type: A B P."
4052,CSS3 (New),https://www.shl.com/solutions/products/product-catalog/view/css3-new/,Yes,No,K,Multi-choice test that measures the knowledge of CSS3 and its application in providing style to web documents.,"Mid-Professional, Professional Individual Contributor,","English (USA),",8,45,"Bank Operations Supervisor - Short Form. The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, First Line Supervisor, Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor. There are multiple configurations and versions of this solution available. Test Type: A B P S, Duration: 45","This 45-minute A B P S assessment evaluates entry-level supervisory skills for roles like Team Leader or Call Center Supervisor.  It assesses scheduling, employee coaching, training, prioritization, and decision-making abilities."
4050,Culinary Skills (New),https://www.shl.com/solutions/products/product-catalog/view/culinary-skills-new/,Yes,No,K,"Multi-choice test that measures the knowledge of cooking principles, cooking equipment, meal preparation and presentation, and kitchen safety.","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),",7,43,"Bilingual Spanish Reservation Agent Solution. The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include making, updating, or canceling hotel reservations made in English or Spanish; listening to customers speak Spanish and entering information into a computer in English; providing information on the hotel and the services offered. Potential job titles that use this solution are: Bilingual Reservation Agent, Customer Service Representative and Reservationist. Multiple configurations of this solution are available. Test Type: B P S A, Duration: 43","This 43-minute Bilingual Spanish Reservation Agent test (BPSA) assesses entry-level hospitality skills, focusing on making, updating, and canceling reservations in English and Spanish.  It includes data entry and customer service aspects."
3933,Customer Service Phone Simulation,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-simulation/,Yes,No,B S,"As part of Contact Center Simulations, the Customer Service Phone Simulation is designed for entry-level positions in a contact center environment. Sample tasks for these jobs include: verify the customer or account; take ownership of customer issues; interact with customers to provide information; respond positively to difficult, irate, or confused customers; listen attentively to callers; resolve calls in a timely manner; navigate within multiple information menus to view customer account details and process information; and type information quickly and accurately. Potential job titles that use this solution are: Call Center Representative, Contact Center Representative, Contact Center Agent, Customer Service Agent, Customer Service Representative, and Customer Advocate.
""Please note that for Simplified Chinese version the audio is available in both Mandarin and Cantonese.""","Entry-Level,","French (Canada), Portuguese (Brazil), Dutch, Italian, Spanish, French, Latin American Spanish, Chinese Simplified, English (Australia), English International, English (USA),",20,49,"Bookkeeping, Accounting, Auditing Clerk Short Form. The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and maintaining financial records. Sample tasks for this job include, but are not limited to: entering financial data into computers; checking financial records for accuracy; perform routine computations on financial data. Potential job titles that use this solution are: Accounting Clerk, Bookkeeper, Accounting Associate, Auditing Clerk and Accounts Receivable Clerk. Test Type: P S K B A, Duration: 49","This 49-minute skills assessment tests bookkeeping, accounting, and auditing clerk skills (P, S, K, B, A test type) for entry-level positions.  It assesses data entry, record maintenance, and financial computation skills."
3931,Customer Service Phone Solution,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-solution/,Yes,No,B P S,"As part of Contact Center Simulations, the Customer Service Phone Solution includes a contact center simulation and two behavioral tests designed to measure a wide range of skills, competencies, and behavioral tendencies relevant for contact center jobs. The Contact Center Simulation provides an opportunity for candidates to interact with simulated customers in a contact center environment. Designed to measure a candidate’s ability to listen attentively to the customer, take ownership of customer issues, resolve issues, navigate to find information, and enter information accurately, the Contact Center Simulation is intended to measure how a candidate will respond in a variety of customer situations and assess the candidate’s computer skills in a contact center setting. The behavioral tests in this solution are intended to measure the candidate’s learning potential and the tendency to meet goals and work hard, even when faced with obstacles. Collectively, the assessments in this solution measure a wide range of important skills, abilities, and behaviors for entry-level contact center roles.
""Please note that for Simplified Chinese version the audio is available in both Mandarin and Cantonese.""","Entry-Level,","French (Canada), Italian, French, Dutch, Spanish, Portuguese (Brazil), Chinese Simplified, English (Australia), Latin American Spanish, English (USA), English International,",30,50,"Branch Manager - Short Form. This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure management potential, management judgment, leadership potential, team management, branch manager problem solving, business leadership, leadership motivation, interpersonal leadership, self leadership, and branch manager judgment. There are multiple configurations and versions of this solution available. Test Type: A B P, Duration: 50","This assessment uses multiple-choice questions to evaluate management skills (potential, judgment, leadership, team management, problem-solving, business acumen, motivation, interpersonal & self-leadership) for mid-to-upper-level branch managers in financial institutions.  Test type: A B P. Duration: 50 minutes."
4053,Cyber Risk (New),https://www.shl.com/solutions/products/product-catalog/view/cyber-risk-new/,Yes,No,K,"Multi-choice test that measures the knowledge of cyber risk management, system and application security, network security and security management.","Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),",9,28,"Cashier Solution. The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk. There are multiple configurations and versions of this solution available. Test Type: B A P, Duration: 28","This is a 28-minute Behavior Aptitude Profile (BAP) assessment for entry-level retail cashier positions.  It evaluates skills in handling payments, customer service, and issuing receipts/refunds."
4186,Data Entry (New),https://www.shl.com/solutions/products/product-catalog/view/data-entry-new/,Yes,No,S,Simulated data entry test that measures the ability to accurately transcribe data from pre-filled forms and the ability to verify pre-filled data.,"Entry-Level,","English (USA),",4,63,"Manager + 7.1 (Americas). Our Manager + 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.
Report Language Availability: English (USA), Canadian French.
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is Americas and International"". Test Type: B C P, Duration: 63","The Manager + 7.1 assessment (Americas) uses SHL's Verify Interactive – Deductive Reasoning to evaluate entry-level leadership skills.  It assesses project planning, collaboration, coaching, employee development, goal setting, prioritization, decision-making, and problem-solving. Test type: BCP. Duration: 63 minutes."
778,Data Entry Alphanumeric Split Screen - US,https://www.shl.com/solutions/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,Yes,No,K,"The Data Entry Alphanumeric Split Screen - US assessment measures speed and accuracy at typing text and numbers into forms. The information includes business-related text and numbers such as invoice number, address, product number and amount. The test assesses for speed and accuracy.","Professional Individual Contributor, Mid-Professional, Front Line Manager, Entry-Level,","English (USA),",5,63,"Manager + 7.1 (International). Our Manager + 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.
Report Language Availability: English (USA), Canadian French, Brazilian Portuguese, Danish, Dutch, Finnish, Italian, Norwegian, Swedish.
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is Americas and International"". Test Type: B C P, Duration: 63","The Manager + 7.1 assessment (B C P type, 63 minutes) evaluates entry-level leadership skills using SHL's Verify Interactive – Deductive Reasoning.  It assesses project planning, collaboration, employee coaching, goal setting, prioritization, decision-making, and problem-solving.  Available in multiple languages."
779,Data Entry Numeric Split Screen - US,https://www.shl.com/solutions/products/product-catalog/view/data-entry-numeric-split-screen-us/,Yes,No,K,"The Data Entry Numeric Split Screen - US assessment measures speed and accuracy at typing numbers into forms. The information candidates must enter includes business-related records including number fields such as customer number, order number, item number and quantity. Candidates may use either the keyboard's numeric keypad or the number keys at the top of the keyboard.","Mid-Professional, Professional Individual Contributor, Entry-Level, Front Line Manager,","English (USA),",5,35,"Manager 7.0 Solution. Our Manager 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.
Report Language Availability: English (USA), Latin American Spanish. Test Type: B C, Duration: 35","The Manager 7.0 assessment (35-minute duration) is a B C type test evaluating entry-level leadership skills.  It assesses abilities in project planning, collaboration, employee coaching & development, goal setting, prioritization, decision-making, and problem-solving.  Available in English (USA) and Latin American Spanish."
785,Data Entry Ten Key Split Screen,https://www.shl.com/solutions/products/product-catalog/view/data-entry-ten-key-split-screen/,Yes,No,K,Data Entry Ten Key Split Screen assessment measures ability to enter numbers using a numeric keypad. The test measures accuracy and speed.,"Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor,","English (USA),",3,40,"Manager 7.1 (Americas). Our Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.
Report Language Availability: English (USA), Danish, Finnish, Canadian French, Italian, Norwegian, French, German, English International,.
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International"". Test Type: B C P, Duration: 40","The Manager 7.1 assessment (BCP type) evaluates entry-level leadership skills like project planning, employee coaching, and strategic decision-making.  It's available in multiple languages, uses an ""International"" norm, and has a 40-minute duration."
4013,Data Science (New),https://www.shl.com/solutions/products/product-catalog/view/data-science-new/,Yes,No,K,"Multi-choice test that measures the conceptual knowledge on how to use machine learning to analyze data, extract information, draw conclusions and make statistically-driven decisions.","Mid-Professional, Professional Individual Contributor,","English (USA),",14,40,"Manager 7.1 (International). Our Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.
Report Language Availability: English (USA), Danish, Finnish, Canadian French, Italian, Norwegian, French, German, English International,.
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International"". Test Type: B C P, Duration: 40","The Manager 7.1 (International) assessment is a BCP test evaluating entry-level management skills (project planning, employee coaching, goal setting, problem-solving, etc.).  It's available in multiple languages and has a 40-minute duration."
56,Data Warehousing Concepts,https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/,Yes,Yes,K,"The Data Warehousing Concepts test measures knowledge of Data Warehousing. Designed for experienced users, this test covers the following topics: Big Data and Data Warehouse Appliance, Business Considerations, Data Transformation, Data Warehousing and Data Marts, Design, Dimensional Data Model, On Line Analytical Processing (OLAP), Querying and Reporting/Data Extraction.","Mid-Professional, Professional Individual Contributor,","English (USA),",25,26,"Manager 8.0 JFA. The Manager 8.0 Job-Focused Assessment is designed for candidates applying to their first leadership positions. It measures behaviors that underlie successful performance in first-line manager roles across a wide range of industries. It is most relevant to positions that supervise salaried employees. This JFA includes the Reskilling Potential Scale and the Management Potential Scale. •The Reskilling Potential scale measures tendency to learn from experiences in a way that supports professional success. •The Management Potential scale measures the potential for managerial success across industry type and functional area. Test Type: B K P, Duration: 26",The Manager 8.0 JFA is a 26-minute behavioral (BKP) assessment evaluating reskilling and management potential for entry-level management roles supervising salaried employees.
